Ensemble_ID,EarlyB_1,EarlyB_2,ProB_1,ProB_2,PreB_1,PreB_2,ImmatureB_1,immatureB_2,EarlyB_ped_1,EarlyB_ped_2,proB_ped_1,ProB_ped_2,PreB_ped_1,PreB_ped_2,ImmatureB_ped_1,ImmatureB_ped_2
POU2F2,24.62456566,17.6954804,8.115231658,10.82370654,190.7347629,128.2044022,357.1690764,357.1690764,23.00629757,21.05921073,5.84782974,8.731518172,121.5689565,124.4006949,396.0700841,348.3042392
E2A,237.0071753,207.1132303,1311.861327,1413.75181,2338.349919,2131.690612,536.0468184,536.0468184,243.9848193,238.7851482,980.8036156,945.534507,1502.386638,2390.958762,570.140315,594.9296011
FOXP1,69.41668475,52.17312609,112.5135156,105.7008833,152.6733873,156.5089694,186.6652335,186.6652335,55.19543664,58.51181905,75.65260545,83.95252133,77.58614378,127.0754428,174.0702309,174.8546606
MYB,488.819828,581.0396613,743.5296595,825.7170077,532.4721247,538.6206265,23.55012496,23.55012496,455.3869492,449.4312998,390.4460059,297.5099534,225.3445159,512.4883329,23.84842575,18.13224988
BCL11A,85.5029128,86.3082786,222.0501821,272.6495672,56.5826767,73.77254216,188.8701257,188.8701257,98.99431105,80.86808981,136.5305805,85.04681081,49.8561743,33.21006799,164.4631455,158.0828871
FOXO1,17.81097225,18.26630235,224.9891095,211.8810451,186.8837993,129.3625268,171.137163,171.137163,12.62640708,12.35809971,70.58743979,113.1449731,71.34690065,139.0702747,144.9315599,142.6046811
EBF1,12.0561327,4.052835834,307.9995866,430.4719894,199.3943371,174.7378518,52.33100476,52.33100476,2.246516583,0.324265007,282.3571428,169.7402573,135.241372,211.2386266,90.5689993,89.30077311
RAG1,36.21962813,9.228288166,779.2328866,730.7200113,383.2625671,156.2773444,12.47875147,12.47875147,9.887952554,1.99963421,398.6713624,214.8796985,66.78300984,144.303477,3.893620531,0.646783821
IKAROS,271.092219,248.9164243,379.4629233,368.6250906,406.470226,320.7078866,490.1428397,490.1428397,247.9859145,242.2619897,347.2518089,375.7060561,303.9512766,335.6725481,477.7726323,459.9302055
PAX5,10.21185178,0.55179455,676.0101736,638.7784155,1353.114504,596.735323,895.7726315,895.7726315,1.55780347,0.954780299,573.353125,229.6640054,730.5498974,811.5783049,1022.73138,604.8766902
